W00-1401 "Evaluation Metrics for Generation"
W07-1012 "BioNoculars: Extracting Protein-Protein Interactions from Biomedical Text"
W07-1013 "A shared task involving multi-label classification of clinical free text"
W07-1014 "From indexing the biomedical literature to coding clinical text: experience with MTI and machine learning approaches"
W07-1015 "Automatically Restructuring Practice Guidelines using the GEM DTD"
W07-1016 "A Study of Structured Clinical Abstracts and the Semantic Classification of Sentences"
W07-1017 "Automatic Code Assignment to Medical Text"
W07-1018 "Interpreting comparative constructions in biomedical text"
W07-1019 "The Extraction of Enriched Protein-Protein Interactions from Biomedical Text"
W07-1020 "What's in a gene name? Automated refinement of gene name dictionaries"
W07-1021 "Exploring the Use of NLP in the Disclosure of Electronic Patient Records"
W07-1022 "BaseNPs that contain gene names: domain specificity and genericity"
W07-1023 "Challenges for extracting biomedical knowledge from full text"
W07-1024 "Adaptation of POS Tagging for Multiple BioMedical Domains"
W07-1025 "Information Extraction from Patients' Free Form Documentation"
W07-1026 "Automatic Indexing of Specialized Documents: Using Generic vs. Domain-Specific Document Representations"
W07-1027 "Developing Feature Types for Classifying Clinical Notes"
W07-1028 "Quantitative Data on Referring Expressions in Biomedical Abstracts"
W07-1029 "Discovering contradicting protein-protein interactions in text"
W07-1030 "Marking time in developmental biology"
W07-1031 "Evaluating and combining and biomedical named entity recognition systems"
W07-1032 "Unsupervised Learning of the Morpho-Semantic Relationship in MEDLINE"
W07-1101 "A Measure of Syntactic Flexibility for Automatically Identifying Multiword Expressions in Corpora"
W07-1102 "Distinguishing Subtypes of Multiword Expressions Using Linguistically-Motivated Statistical Measures"
W07-1103 "Design and Implementation of a Lexicon of Dutch Multiword Expressions"
W07-1104 "Semantics-based Multiword Expression Extraction"
W07-1105 "Spanish Adverbial Frozen Expressions"
W07-1106 "Pulling their Weight: Exploiting Syntactic Forms for the Automatic Identification of Idiomatic Expressions in Context"
W07-1107 "Pauses as an Indicator of Psycholinguistically Valid Multi-Word Expressions (MWEs)?"
W07-1108 "Co-occurrence Contexts for Noun Compound Interpretation"
W07-1109 "Learning Dependency Relations of Japanese Compound Functional Expressions"
W07-1501 "GrAF: A Graph-based Format for Linguistic Annotations"
W07-1502 "Efficient Annotation with the Jena ANnotation Environment (JANE)"
W07-1503 "Mining Syntactically Annotated Corpora with XQuery"
W07-1504 "Assocating Facial Displays with Syntactic Constituents for Generation"
W07-1505 "An Annotation Type System for a Data-Driven NLP Pipeline"
W07-1506 "Discontinuity Revisited: An Improved Conversion to Context-Free Representations"
W07-1507 "Usage of XSL Stylesheets for the Annotation of the S\u00e1mi Language Corpora."
W07-1508 "Criteria for the Manual Grouping of Verb Senses"
W07-1509 "Semi-Automated Named Entity Annotation"
W07-1510 "Querying Multimodal Annotation: A Concordancer for GeM"
W07-1511 "Annotating Chinese Collocations with Multi Information"
W07-1512 "Computing Translation Units and Quantifying Parallelism in Parallel Dependency Treebanks"
W07-1513 "Adding Semantic Role Annotation to a Corpus of Written Dutch"
W07-1514 "A Search Tool for Parallel Treebanks"
W07-1515 "Annotating Expressions of Appraisal in English"
W07-1516 "Active Learning for Part-of-Speech Tagging: Accelerating Corpus Annotation"
W07-1517 "Combining Independent Syntactic and Semantic Annotation Schemes"
W07-1518 "XARA: An XML- and Rule-based Semantic Role Labeler"
W07-1519 "ITU Treebank Annotation Tool"
W07-1520 "Two Tools for Creating and Visualizing Sub-sentential Alignments of Parallel Text"
W07-1521 "Building Chinese Sense Annotated Corpus with the Help of Software Tools"
W07-1522 "Annotating a Japanese Text Corpus with Predicate-Argument and Coreference Relations"
W07-1523 "Web-based Annotation of Anaphoric Relations and Lexical Chains"
W07-1524 "Standoff Coordination for Multi-Tool Annotation in a Dialogue Corpus"
W07-1525 "PoCoS - Potsdam Coreference Scheme"
W07-1526 "Multiple-step Treebank Conversion: From Dependency to Penn Format"
W07-1527 "Experiments with an Annotation Scheme for a Knowledge-rich Noun Phrase Interpretation System"
W07-1528 "IGT-XML: An XML Format for Interlinearized Glossed Text"
W07-1529 "Shared Corpora Working Group Report"
W07-2201 "Using Self-Trained Bilexical Preferences to Improve Disambiguation Accuracy"
W07-2202 "Evaluating Impact of Re-training a Lexical Disambiguation Model on Domain Adaptation of an HPSG Parser"
W07-2203 "Semi-supervised Training of a Statistical Parser from Unlabeled Partially-bracketed Data"
W07-2204 "Adapting WSJ-Trained Parsers to the British National Corpus using In-Domain Self-Training"
W07-2205 "The Impact of Deep Linguistic Processing on Parsing Technology"
W07-2206 "Improving the Efficiency of a Wide-Coverage CCG Parser"
W07-2207 "Efficiency in Unification-Based N-Best Parsing"
W07-2208 "A log-linear model with an n-gram reference distribution for accurate HPSG parsing"
W07-2209 "Ambiguity Resolution by Reordering Rules in Text Containing Errors"
W07-2210 "Nbest Dependency Parsing with linguistically rich models"
W07-2211 "Symbolic Preference Using Simple Scoring"
W07-2212 "Synchronous Grammars and Transducers: Good News and Bad News"
W07-2213 "Are Very Large Context-Free Grammars Tractable?"
W07-2214 "Pomset mcfgs"
W07-2215 "Modular and Efficient Top-Down Parsing for Ambiguous Left-Recursive Grammars"
W07-2216 "On the Complexity of Non-Projective Data-Driven Dependency Parsing"
W07-2217 "Dependency Parsing with Second-Order Feature Maps and Annotated Semantic Information"
W07-2218 "A Latent Variable Model for Generative Dependency Parsing"
W07-2219 "Three-Dimensional Parametrization for Parsing Morphologically Rich Languages"
W07-2301 "Quality of Service and Communicative Competence in NLG Evaluation "
W07-2302 "Generation of repeated references to discourse entities"
W07-2303 "Stochastic Realisation Ranking for a Free Word Order Language"
W07-2304 "Modelling control in generation"
W07-2305 "Avoiding Repetition in Generated Text"
W07-2306 "Spotting Overgeneration Suspects"
W07-2307 "Evaluating algorithms for the Generation of Referring Expressions using a balanced corpus"
W07-2308 "Generating Politeness in Task Based Interaction: An Evaluation of the Effect of Linguistic Form and Culture"
W07-2309 "Interactive sentence combining and paraphrasing in support of integrated writing and grammar instruction: A new application area for natural language sentence generators"
W07-2310 "Using WYSIWYM to Create an Open-ended Interface for the Semantic Grid"
W07-2311 "Lexical choice of modal expressions"
W07-2312 "Measuring Variability in Sentence Ordering for News Summarization"
W07-2313 "Visualising Discourse Structure in Interactive Documents"
W07-2314 "Abstract verbs"
W07-2316 "An Experiment on \"Free Generation\" from Single RDF Triples"
W07-2317 "The Narrator: NLG for digital storytelling"
W07-2318 "Capturing Acceptable Variation in Distinguishing Descriptions"
W07-2319 "Determining tutorial remediation strategies from a corpus of human-human tutoring dialogues"
W07-2320 "Deep-reasoning-centred Dialogue"
W07-2321 "Extending the Entity-grid Coherence Model to Semantically Related Entities"
W07-2322 "Generating Multilingual Descriptions from Linguistically Annotated OWL Ontologies: the NaturalOWL System"
W07-2323 "Cryptic Crossword Clues: Generating Text with a Hidden Meaning"
W07-2324 "Combining Multiple Information Layers for the Automatic Generation of Indicative Meeting Abstracts"
W07-2325 "A Comparison of Hedged and Non-hedged NLG Texts"
W07-2326 "Cueing the Virtual Storyteller: Analysis of cue phrase usage in fairy tales"
W07-2327 "Atlas.txt: Linking  Geo-referenced Data to Text for NLG"
W08-0101 "Optimizing Endpointing Thresholds using Dialogue Features in a Spoken Dialogue System"
W08-0102 "Response-Based Confidence Annotation for Spoken Dialogue Systems"
W08-0104 "Agreement and Disputes in Dialogue"
W08-0105 "Reactive Redundancy and Listener Comprehension in Direction-Giving"
W08-0106 "Semantic negotiation in dialogue: the mechanisms of alignment"
W08-0107 "Degrees of Grounding Based on Evidence of Understanding"
W08-0108 "Rapidly Deploying Grammar-Based Speech Applications with Active Learning and Back-off Grammars"
W08-0109 "Persistent Information State in a Data-Centric Architecture"
W08-0110 "Speaking without knowing what to say... or when to end"
W08-0111 "Learning Contrastive Connectives in Sentence Realization Ranking"
W08-0112 "What Are Meeting Summaries? An Analysis of Human Extractive Summaries in Meeting Corpus"
W08-0113 "A Simple Method for Resolution of Definite Reference in a Shared Visual Context"
W08-0114 "A Framework for Building Conversational Agents Based on a Multi-Expert Model"
W08-0115 "From GEMINI to DiaGen: Improving Development of Speech Dialogues for Embedded Systems"
W08-0116 "Quantifying Ellipsis in Dialogue: an index of mutual understanding"
W08-0117 "Implicit Proposal Filtering in Multi-Party Consensus-Building Conversations"
W08-0118 "Optimal Dialog in Consumer-Rating Systems using POMDP Framework"
W08-0119 "Training and Evaluation of the HIS POMDP Dialogue System in Noise"
W08-0120 "A Frame-Based Probabilistic Framework for Spoken Dialog Management Using Dialog Examples"
W08-0121 "Speaking More Like You: Lexical, Acoustic/Prosodic, and Discourse Entrainment in Spoken Dialogue Systems"
W08-0122 "Discourse Level Opinion Relations: An Annotation Study"
W08-0123 "Argumentative Human Computer Dialogue for Automated Persuasion"
W08-0124 "Modeling Vocal Interaction for Text-Independent Participant Characterization in Multi-Party Conversation"
W08-0125 "Modelling and Detecting Decisions in Multi-party Dialogue"
W08-0126 "User Simulation as Testing for Spoken Dialog Systems"
W08-0127 "Evaluation Understudy for Dialogue Coherence Models"
W08-0128 "A Framework for Model-based Evaluation of Spoken Dialog Systems"
W08-0129 "The Effect of Dialogue System Output Style Variation on Users' Evaluation Judgments and Input Style"
W08-0301 "An Empirical Study in Source Word Deletion for Phrase-Based Statistical Machine Translation"
W08-0302 "Rich Source-Side Context for Statistical Machine Translation"
W08-0303 "Discriminative Word Alignment via Alignment Matrix Modeling"
W08-0304 "Regularization and Search for Minimum Error Rate Training"
W08-0305 "Learning Performance of a Machine Translation System: a Statistical and Computational Analysis"
W08-0306 "Using Syntax to Improve Word Alignment Precision for Syntax-Based Machine Translation"
W08-0307 "Using Shallow Syntax Information to Improve Word Alignment and Reordering for SMT"
W08-0308 "Improved Tree-to-String Transducer for Machine Translation"
W08-0309 "Further Meta-Evaluation of Machine Translation"
W08-0310 "Limsi's Statistical Translation Systems for WMT'08"
W08-0311 "The MetaMorpho Translation System"
W08-0312 "Meteor, M-BLEU and M-TER: Evaluation Metrics for High-Correlation with Human Rankings of Machine Translation Output"
W08-0313 "First Steps towards a General Purpose French/English Statistical Machine Translation System"
W08-0314 "The University of Washington Machine Translation System for ACL WMT 2008"
W08-0315 "The TALP-UPC Ngram-Based Statistical Machine Translation System for ACL-WMT 2008"
W08-0316 "European Language Translation with Weighted Finite State Transducers: The CUED MT System for the 2008 ACL Workshop on SMT"
W08-0317 "Effects of Morphological Analysis in Translation between German and English"
W08-0318 "Towards better Machine Translation Quality for the German-English Language Pairs"
W08-0319 "Phrase-Based and Deep Syntactic English-to-Czech Statistical Machine Translation"
W08-0320 "Improving English-Spanish Statistical Machine Translation: Experiments in Domain Adaptation, Sentence Paraphrasing, Tokenization, and Recasing"
W08-0321 "Improving Word Alignment with Language Model Based Confidence Scores"
W08-0322 "Kernel Regression Framework for Machine Translation: UCL System Description for WMT 2008 Shared Translation Task"
W08-0323 "Using Syntactic Coupling Features for Discriminating Phrase-Based Translations (WMT-08 Shared Translation Task)"
W08-0324 "Statistical Transfer Systems for French-English and German-English Machine Translation"
W08-0325 "TectoMT: Highly Modular MT System with Tectogrammatics Used as Transfer Layer"
W08-0326 "MaTrEx: The DCU MT System for WMT 2008"
W08-0327 "Can we Relearn an RBMT System?"
W08-0328 "Using Moses to Integrate Multiple Rule-Based Machine Translation Engines into a Hybrid System"
W08-0329 "Incremental Hypothesis Alignment for Building Confusion Networks with Application to Machine Translation System Combination"
W08-0330 "The Role of Pseudo References in MT Evaluation"
W08-0331 "Ranking vs. Regression in Machine Translation Evaluation"
W08-0332 "A Smorgasbord of Features for Automatic MT Evaluation"
W08-0333 "Fast, Easy, and Cheap: Construction of Statistical Machine Translation Models with MapReduce"
W08-0334 "Dynamic Model Interpolation for Statistical Machine Translation"
W08-0335 "Improved Statistical Machine Translation by Multiple Chinese Word Segmentation"
W08-0601 "A Graph Kernel for Protein-Protein Interaction Extraction"
W08-0602 "Extracting Clinical Relationships from Patient Narratives"
W08-0603 "Using Automated Feature Optimisation to Create an Adaptable Relation Extraction System"
W08-0604 "Mining the Biomedical Literature for Genic Information"
W08-0605 "Accelerating the Annotation of Sparse Named Entities by Dynamic Sentence Selection"
W08-0606 "The BioScope corpus: annotation for negation, uncertainty and their scope in biomedical texts"
W08-0607 "Recognizing Speculative Language in Biomedical Research Articles: A Linguistically Motivated Perspective"
W08-0608 "Cascaded Classifiers for Confidence-Based Chemical Named Entity Recognition"
W08-0609 "How to Make the Most of NE Dictionaries in Statistical NER"
W08-0610 "Species Disambiguation for Biomedical Term Identification"
W08-0611 "Knowledge Sources for Word Sense Disambiguation of Biomedical Text"
W08-0612 "Automatic inference of indexing rules for MEDLINE"
W08-0613 "Prediction of Protein Sub-cellular Localization using Information from Texts and Sequences."
W08-0614 "A Pilot Annotation to Investigate Discourse Connectivity in Biomedical Text"
W08-0615 "Conditional Random Fields and Support Vector Machines for Disorder Named Entity Recognition in Clinical Texts"
W08-0616 "Using Natural Language Processing to Classify Suicide Notes"
W08-0617 "Extracting Protein-Protein Interaction based on Discriminative Training of the Hidden Vector State Model"
W08-0618 "A preliminary approach to extract drugs by combining UMLS resources and USAN naming conventions"
W08-0619 "Mapping Clinical Notes to Medical Terminologies at Point of Care"
W08-0620 "An Approach to Reducing Annotation Costs for BioNLP"
W08-0621 "Temporal Annotation of Clinical Text"
W08-0622 "CBR-Tagger: a case-based reasoning approach to the gene/protein mention problem"
W08-0623 "Textual Information for Predicting Functional Properties of the Genes"
W08-0624 "Determining causal and non-causal relationships in biomedical text by classifying verbs using a Naive Bayesian Classifier"
W08-0625 "Statistical Term Profiling for Query Pattern Mining"
W08-0626 "Using Language Models to Identify Language Impairment in Spanish-English Bilingual Children"
W08-0627 "Raising the Compatibility of Heterogeneous Annotations: A Case Study on"
W08-1101 "Prominence and Phrasing in Spoken Discourse Processing"
W08-1102 "Language, Embodiment and Social Intelligence"
W08-1103 "Generating Textual Summaries of Bar Charts"
W08-1104 "Using Spatial Reference Frames to Generate Grounded Textual Summaries of Georeferenced Data"
W08-1105 "Dependency Tree Based Sentence Compression"
W08-1106 "Extractive vs. NLG-based Abstractive Summarization of Evaluative Text: The Effect of Corpus Controversiality"
W08-1107 "Referring Expressions as Formulas of Description Logic"
W08-1108 "Attribute Selection for Referring Expression Generation: New Algorithms and Evaluation Methods"
W08-1109 "The Use of Spatial Relations in Referring Expression Generation"
W08-1110 "Using Tactical NLG to Induce Affective States: Empirical Investigations"
W08-1111 "Practical Grammar-Based NLG from Examples"
W08-1112 "Accurate and Robust LFG-Based Generation for Chinese"
W08-1113 "Automated Metrics That Agree With Human Judgements On Generated Output for an Embodied Conversational Agent"
W08-1114 "Simple but  effective feedback generation  to tutor abstract  problem solving"
W08-1115 "What's In a Message? Interpreting Geo-referenced Data for the Visually-impaired"
W08-1116 "Evolving Questions in Text Planning"
W08-1117 "The Effect of Dialogue System Output Style Variation on Users' Evaluation Judgments and Input Style"
W08-1118 "Evaluating an Ontology-Driven WYSIWYM Interface"
W08-1119 "The Importance of Narrative and Other Lessons from an Evaluation of an NLG System that Summarises Clinical Data"
W08-1120 "Building a Large-scale Commercial NLG System for an EMR"
W08-1121 "Degree of Abstraction in Referring Expression Generation and its Relation with the Construction of the Contrast Set"
W08-1122 "Parser-Based Retraining for Domain Adaptation of Probabilistic Generators"
W08-1123 "Creation of a New Domain and Evaluation of Comparison Generation in a Natural Language Generation System"
W08-1124 "Generating Baseball Summaries from Multiple Perspectives by Reordering Content"
W08-1125 "A Dynamic Programming Approach to Document Length Constraints"
W08-1126 "REG Challenge Preface"
W08-1127 "The GREC Challenge 2008: Overview and Evaluation Results"
W08-1128 "IS-G: The Comparison of Different Learning Techniques for the Selection of the Main Subject References"
W08-1129 "CNTS: Memory-Based Learning of Generating Repeated References"
W08-1130 "OSU-2: Generating Referring Expressions with a Maximum Entropy Classifier"
W08-1131 "The TUNA Challenge 2008: Overview and Evaluation Results"
W08-1132 "The Fingerprint of Human Referring Expressions and their Surface Realization with Graph Transducers (IS-FP, IS-GT, IS-FP-GT)}"
W08-1133 "Referring Expression Generation Using Speaker-based Attribute Selection and Trainable Realization (ATTR)"
W08-1134 "NIL-UCM: Most-Frequent-Value-First Attribute Selection and Best-Scoring-Choice Realization"
W08-1135 "USP-EACH Frequency-based Greedy Attribute Selection for Referring Expressions Generation"
W08-1136 "Referring Expression Generation Challenge 2008 DIT System Descriptions (DIT-FBI, DIT-TVAS, DIT-CBSR, DIT-RBR, DIT-FBI-CBSR, DIT-TVAS-RBR)"
W08-1137 "OSU-GP: Attribute Selection Using Genetic Programming"
W08-1138 "GRAPH: The Costs of Redundancy in Referring Expressions"
W08-1139 "JU-PTBSGRE: GRE Using Prefix Tree Based Structure"
W08-1140 "From TUNA Attribute Sets to Portuguese Text: a First Report"
W08-1501 "Mitigation of Data Sparsity in Classifier-Based Translation"
W08-1502 "Speech Translation with Grammatical Framework"
W08-1503 "An Integrated Dialog Simulation Technique for Evaluating Spoken Dialog Systems"
W08-1504 "Economical Global Access to a VoiceXML Gateway Using Open Source Technologies"
W08-1505 "Interoperability and Knowledge Representation in Distributed Health and Fitness Companion Dialogue System"
W08-1506 "The 2008 MedSLT System"
W08-1507 "Language Understanding in Maryland Virtual Patient"
W08-1508 "Rapid Portability among Domains in an Interactive Spoken Language Translation System"
W08-1509 "Speech Translation for Triage of Emergency Phonecalls in Minority Languages"
W08-1510 "Speech to Speech Translation for Nurse Patient Interaction"
W08-1901 "Comparing Lexical Relationships Observed within Japanese Collocation Data and Japanese Word Association Norms"
W08-1902 "Lexical access based on underspecified input"
W08-1903 "Accessing the ANW Dictionary"
W08-1904 "ProPOSEL: a human-oriented prosody and PoS English lexicon for machine-learning and NLP"
W08-1905 "Natural Language Searching in Onomasiological Dictionaries"
W08-1906 "First ideas of user-adapted views of lexicographic data exemplified on OWID and elexiko"
W08-1907 "Multilingual Conceptual Access to Lexicon based on Shared Orthography: An ontology-driven study of Chinese and Japanese"
W08-1908 "Extracting Sense Trees from the Romanian Thesaurus by Sense Segmentation & Dependency Parsing"
W08-1909 "Lexical-Functional Correspondences and Their Use in the System of Machine Translation ETAP-3"
W08-1910 "The \"Close-Distant\" Relation of Adjectival Concepts Based on Self-Organizing Map"
W08-1911 "Looking up phrase rephrasings via a pivot language"
W08-1912 "Toward a cognitive organization for electronic dictionaries, the case for semantic proxemy"
W08-1913 "Cognitively Salient Relations for Multilingual Lexicography"
W09-0401 "Findings of the 2009 Workshop on Statistical Machine Translation"
W09-0402 "Syntax-Oriented Evaluation Measures for Machine Translation Output"
W09-0403 "A Simple Automatic MT Evaluation Metric"
W09-0404 "Machine Translation Evaluation with Textual Entailment Features"
W09-0405 "Combining Multi-Engine Translations with Moses"
W09-0406 "CMU System Combination for WMT'09"
W09-0407 "The RWTH System Combination System for WMT 2009"
W09-0408 "Machine Translation System Combination with Flexible Word Ordering"
W09-0409 "Incremental Hypothesis Alignment with Flexible Matching for Building Confusion Networks: BBN System Description for WMT09 System Combination Task"
W09-0410 "The RWTH Machine Translation System for WMT 2009"
W09-0411 "Translation Combination using Factored Word Substitution"
W09-0412 "NUS at WMT09: Domain Adaptation Experiments for English-Spanish Machine Translation of News Commentary Text"
W09-0413 "The Universit\u00e4t Karlsruhe Translation System for the EACL-WMT 2009"
W09-0414 "The TALP-UPC Phrase-Based Translation System for EACL-WMT 2009"
W09-0415 "Deep Linguistic Multilingual Translation and Bilingual Dictionaries"
W09-0416 "MATREX: The DCU MT System for WMT 2009"
W09-0417 "LIMSI's Statistical Translation Systems for WMT'09"
W09-0418 "NICT@WMT09: Model Adaptation and Transliteration for Spanish-English SMT"
W09-0419 "Statistical Post Editing and Dictionary Extraction: Systran/Edinburgh Submissions for ACL-WMT2009"
W09-0420 "Experiments in Morphosyntactic Processing for Translating to and from German"
W09-0421 "Improving Alignment for SMT by Reordering and Augmenting the Training Corpus"
W09-0422 "English-Czech MT in 2008"
W09-0423 "SMT and SPE Machine Translation Systems for WMT'09"
W09-0424 "Joshua: An Open Source Toolkit for Parsing-Based Machine Translation"
W09-0425 "An Improved Statistical Transfer System for French-English Machine Translation"
W09-0426 "The University of Maryland Statistical Machine Translation System for the Fourth Workshop on Machine Translation"
W09-0427 "Toward Using Morphology in French-English Phrase-Based SMT"
W09-0428 "MorphoLogic's Submission for the WMT 2009 Shared Task"
W09-0429 "Edinburgh's Submission to all Tracks of the WMT 2009 Shared Task with Reordering and Speed Improvements to Moses"
W09-0430 "Mining a Comparable Text Corpus for a Vietnamese-French Statistical Machine Translation System"
W09-0431 "Improving Arabic-Chinese Statistical Machine Translation using English as Pivot Language"
W09-0432 "Domain Adaptation for Statistical Machine Translation with Monolingual Resources"
W09-0433 "Chinese Syntactic Reordering for Adequate Generation of Korean Verbal Phrases in Chinese-to-Korean SMT"
W09-0434 "A Quantitative Analysis of Reordering Phenomena"
W09-0435 "A POS-Based Model for Long-Range Reorderings in SMT"
W09-0436 "Disambiguating \"DE\" for Chinese-English Machine Translation"
W09-0437 "A Systematic Analysis of Translation Model Search Spaces"
W09-0438 "A Deep Learning Approach to Machine Transliteration"
W09-0439 "Stabilizing Minimum Error Rate Training"
W09-0440 "On the Robustness of Syntactic and Semantic Features for Automatic MT Evaluation"
W09-0601 "Using NLG to Help Language-Impaired Users Tell Stories and Participate in Social Dialogues"
W09-0602 "Towards a Generation-Based Semantic Web Authoring Tool"
W09-0603 "System Building Cost vs. Output Quality in Data-to-Text Generation"
W09-0604 "Is Sentence Compression an NLG task?"
W09-0605 "Probabilistic Approaches for Modeling Text Structure and their Application to Text-to-Text Generation (Invited Talk)"
W09-0606 "Distinguishable Entities: Definitions and Properties"
W09-0607 "Generating Approximate Geographic Descriptions"
W09-0608 "Class-Based Ordering of Prenominal Modifiers"
W09-0609 "Referring Expression Generation through Attribute-Based Heuristics"
W09-0610 "A Model for Human Readable Instruction Generation Using Level-Based Discourse Planning and Dynamic Inference of Attributes"
W09-0611 "Learning Lexical Alignment Policies for Generating Referring Expressions for Spoken Dialogue Systems"
W09-0612 "An Alignment-Capable Microplanner for Natural Language Generation"
W09-0613 "SimpleNLG: A Realisation Engine for Practical Applications"
W09-0614 "A Wizard-of-Oz Environment to Study Referring Expression Generation in a Situated Spoken Dialogue Task"
W09-0615 "A Hearer-Oriented Evaluation of Referring Expression Generation"
W09-0616 "Towards a Game-Theoretic Approach to Content Determination"
W09-0617 "Generating Natural Language Descriptions of Ontology Concepts"
W09-0618 "A Japanese Corpus of Referring Expressions Used in a Situated Collaboration Task"
W09-0619 "The Effect of Linguistic Devices in Information Presentation Messages on Recall and Comprehension"
W09-0620 "Precision and Mathematical Form in First and Subsequent Mentions of Numerical Facts and their Relation to Document Structure"
W09-0621 "Clustering and Matching Headlines for Automatic Paraphrase Acquisition"
W09-0622 "A Situated Context Model for Resolution and Generation of Referring Expressions"
W09-0623 "Investigating Content Selection for Language Generation using Machine Learning"
W09-0624 "Generating Clausal Coordinate Ellipsis Multilingually: A Uniform Approach Based on Postediting"
W09-0625 "Towards Empirical Evaluation of Affective Tactical NLG"
W09-0626 "What Game Theory Can Do for NLG: The Case of Vague Language (Invited Talk)"
W09-0627 "Generation Challenges 2009: Preface"
W09-0628 "Report on the First NLG Challenge on Generating Instructions in Virtual Environments (GIVE)"
W09-0629 "The TUNA-REG Challenge 2009: Overview and Evaluation Results"
W09-0630 "Realizing the Costs: Template-Based Surface Realisation in the GRAPH Approach to Referring Expression Generation"
W09-0631 "Generation of Referring Expression with an Individual Imprint"
W09-0632 "Evolutionary and Case-Based Approaches to REG: NIL-UCM-EvoTAP, NIL-UCM-ValuesCBR and NIL-UCM-EvoCBR"
W09-0633 "USP-EACH: Improved Frequency-based Greedy Attribute Selection"
W09-0901 "Towards a Formal View of Corrective Feedback"
W09-0902 "A Collaborative Tool for the Computational Modelling of Child Language Acquisition"
W09-0903 "What's in a Message?"
W09-0904 "Another Look at Indirect Negative Evidence"
W09-0905 "Categorizing Local Contexts as a Step in Grammatical Category Induction"
W09-1301 "Static Relations: a Piece in the Biomedical Information Extraction Puzzle"
W09-1302 "Distinguishing Historical from Current Problems in Clinical Reports \u2013 Which Textual Features Help?"
W09-1303 "ONYX: A System for the Semantic Analysis of Clinical Text"
W09-1304 "Learning the Scope of Hedge Cues in Biomedical Texts"
W09-1305 "How Feasible and Robust is the Automatic Extraction of Gene Regulation Events? A Cross-Method Evaluation under Lab and Real-Life Conditions"
W09-1306 "Extraction of Named Entities from Tables in Gene Mutation Literature"
W09-1307 "Selecting an Ontology for Biomedical Text Mining"
W09-1308 "Investigation of Unsupervised Pattern Learning Techniques for Bootstrap Construction of a Medical Treatment Lexicon"
W09-1309 "Disambiguation of Biomedical Abbreviations"
W09-1310 "TX Task: Automatic Detection of Focus Organisms in Biomedical Publications"
W09-1311 "Exploring Graph Structure for Detection of Reliability Zones within Synonym Resources: Experiment with the Gene Ontology"
W09-1312 "Towards Automatic Generation of Gene Summary"
W09-1313 "Incorporating GENETAG-style annotation to GENIA corpus"
W09-1314 "User-Driven Development of Text Mining Resources for Cancer Risk Assessment"
W09-1315 "Transforming Controlled Natural Language Biomedical Queries into Answer Set Programs"
W09-1316 "Incorporating Syntactic Dependency Information towards Improved Coding of Lengthy Medical Concepts in Clinical Reports"
W09-1317 "Identifying Interaction Sentences from Biological Literature Using Automatically Extracted Patterns"
W09-1318 "Using Hedges to Enhance a Disease Outbreak Report Text Mining System"
W09-1319 "Exploring Two Biomedical Text Genres for Disease Recognition"
W09-1320 "Towards Retrieving Relevant Information for Answering Clinical Comparison Questions"
W09-1321 "Bridging the Gap between Domain-Oriented and Linguistically-Oriented Semantics"
W09-1322 "Evaluation of the Clinical Question Answering Presentation"
W09-1323 "Clustering Semantic Spaces of Suicide Notes and Newsgroups Articles."
W09-1324 "TEXT2TABLE: Medical Text Summarization System Based on Named Entity Recognition and Modality Identification"
W09-1401 "Overview of BioNLP\u201909 Shared Task on Event Extraction"
W09-1402 "Extracting Complex Biological Events with Rich Graph-Based Feature Sets"
W09-1403 "Event Extraction from Trimmed Dependency Graphs"
W09-1404 "UZurich in the BioNLP 2009 Shared Task"
W09-1405 "Biomedical Event Extraction without Training Data"
W09-1406 "A Markov Logic Approach to Bio-Molecular Event Extraction"
W09-1407 "High-precision biological event extraction with a concept recognizer"
W09-1408 "A memory-based learning approach to event extraction in biomedical texts"
W09-1409 "Extraction of biomedical events using case-based reasoning"
W09-1410 "Biomedical Event Annotation with CRFs and Precision Grammars"
W09-1411 "Molecular event extraction from Link Grammar parse trees"
W09-1412 "Tunable Domain-Independent Event Extraction in the MIRA Framework"
W09-1413 "BioEve: Bio-Molecular Event Extraction from Text Using Semantic Classification and Dependency Parsing"
W09-1414 "From Protein-Protein Interaction to Molecular Event Extraction"
W09-1415 "A Multi-Phase Approach to Biomedical Event Extraction"
W09-1416 "Supervised Classification for Extracting Biomedical Events"
W09-1417 "Biomedical Event Detection using Rules, Conditional Random Fields and Parse Tree Distances"
W09-1418 "Syntactic Dependency Based Heuristics for Biological Event Extraction"
W09-1419 "Analyzing text in search of bio-molecular events: a high-precision machine learning framework"
W09-2901 "Statistically-Driven Alignment-Based Multiword Expression Identification for Technical Domains"
W09-2902 "Re-examining Automatic Keyphrase Extraction Approaches in Scientific Articles"
W09-2903 "Verb Noun Construction MWE Token Classification"
W09-2904 "Exploiting Translational Correspondences for Pattern-Independent MWE Identification"
W09-2905 "A re-examination of lexical association measures"
W09-2906 "Mining Complex Predicates In Hindi Using A Parallel Hindi-English Corpus"
W09-2907 "Improving Statistical Machine Translation Using Domain Bilingual Multiword Expressions"
W09-2908 "Bottom-up Named Entity Recognition using Two-stage Machine Learning Method"
W09-3001 "A Cognitive-based Annotation System for Emotion Computing"
W09-3002 "Complex Linguistic Annotation \u2013 No Easy Way Out! A Case from Bangla and Hindi POS Labeling Tasks"
